Time(s)	QueueSize(packets)
0.1	0
0.2	0
0.3	0
0.4	0
0.5	0
0.6	0
0.7	0
0.8	0
0.9	0
1	0
1.1	0
1.2	0
1.3	0
1.4	0
1.5	0
1.6	0
1.7	0
1.8	0
1.9	0
2	0
2.1	0
2.2	0
2.3	0
2.4	0
2.5	0
2.6	0
2.7	0
2.8	0
2.9	0
3	0
3.1	0
3.2	0
3.3	0
3.4	0
3.5	0
3.6	0
3.7	0
3.8	0
3.9	0
4	0
4.1	0
4.2	0
4.3	0
4.4	0
4.5	0
4.6	0
4.7	0
4.8	0
4.9	0
5	0
5.1	0
5.2	0
5.3	0
5.4	0
5.5	0
5.6	0
5.7	0
5.8	0
5.9	0
6	0
6.1	0
6.2	0
6.3	0
6.4	0
6.5	0
6.6	0
6.7	0
6.8	0
6.9	0
7	0
7.1	0
7.2	0
7.3	0
7.4	0
7.5	0
7.6	0
7.7	0
7.8	0
7.9	0
8	0
8.1	0
8.2	0
8.3	0
8.4	0
8.5	0
8.6	0
8.7	0
8.8	0
8.9	0
9	0
9.1	0
9.2	0
9.3	0
9.4	0
9.5	0
9.6	0
9.7	0
9.8	0
9.9	0
10	0
10.1	4
10.2	21
10.3	23
10.4	20
10.5	20
10.6	21
10.7	22
10.8	24
10.9	21
11	21
11.1	23
11.2	23
11.3	23
11.4	19
11.5	22
11.6	21
11.7	23
11.8	19
11.9	24
12	22
12.1	21
12.2	21
12.3	20
12.4	25
12.5	24
12.6	20
12.7	22
12.8	22
12.9	23
13	23
13.1	21
13.2	23
13.3	23
13.4	19
13.5	21
13.6	22
13.7	23
13.8	22
13.9	20
14	19
14.1	22
14.2	20
14.3	19
14.4	21
14.5	19
14.6	22
14.7	21
14.8	20
14.9	23
15	21
15.1	22
15.2	19
15.3	23
15.4	21
15.5	20
15.6	21
15.7	21
15.8	22
15.9	22
16	22
16.1	20
16.2	21
16.3	22
16.4	20
16.5	22
16.6	22
16.7	23
16.8	20
16.9	20
17	22
17.1	23
17.2	20
17.3	23
17.4	20
17.5	23
17.6	22
17.7	19
17.8	23
17.9	22
18	21
18.1	20
18.2	21
18.3	24
18.4	23
18.5	20
18.6	22
18.7	21
18.8	22
18.9	22
19	22
19.1	21
19.2	22
19.3	21
19.4	19
19.5	23
19.6	20
19.7	23
19.8	22
19.9	20
20	24
20.1	22
20.2	23
20.3	25
20.4	21
20.5	19
20.6	21
20.7	23
20.8	22
20.9	24
21	22
21.1	21
21.2	20
21.3	20
21.4	23
21.5	20
21.6	22
21.7	25
21.8	22
21.9	19
22	21
22.1	21
22.2	21
22.3	18
22.4	22
22.5	23
22.6	21
22.7	22
22.8	23
22.9	24
23	24
23.1	21
23.2	22
23.3	25
23.4	22
23.5	21
23.6	24
23.7	22
23.8	22
23.9	20
24	22
24.1	25
24.2	25
24.3	23
24.4	22
24.5	21
24.6	20
24.7	24
24.8	21
24.9	24
25	23
25.1	22
25.2	20
25.3	21
25.4	21
25.5	23
25.6	20
25.7	21
25.8	21
25.9	21
26	21
26.1	20
26.2	22
26.3	19
26.4	25
26.5	18
26.6	20
26.7	21
26.8	25
26.9	22
27	20
27.1	21
27.2	24
27.3	22
27.4	22
27.5	22
27.6	23
27.7	20
27.8	23
27.9	22
28	24
28.1	24
28.2	23
28.3	21
28.4	22
28.5	22
28.6	21
28.7	23
28.8	24
28.9	24
29	20
29.1	19
29.2	23
29.3	21
29.4	20
29.5	22
29.6	21
29.7	22
29.8	20
29.9	20
30	20
30.1	22
30.2	21
30.3	22
30.4	21
30.5	23
