Time(s)	Flow ID	Throughput(Mbps)
0.1	1	951.104
0.2	1	951.818
0.3	1	951.913
0.4	1	951.924
0.5	1	951.916
0.6	1	951.928
0.7	1	951.974
0.8	1	951.911
0.9	1	951.938
1	1	951.955
1.1	1	952.019
1.2	1	951.897
1.3	1	951.927
1.4	1	952.001
1.5	1	951.938
1.6	1	951.892
1.7	1	951.968
1.8	1	951.989
1.9	1	951.875
2	1	951.984
2.1	1	951.958
2.2	1	951.931
2.3	1	951.953
2.4	1	952.008
2.5	1	951.885
2.6	1	952.034
2.7	1	951.914
2.8	1	951.977
2.9	1	951.955
3	1	951.931
3.1	1	951.957
3.2	1	951.93
3.3	1	951.965
3.4	1	951.902
3.5	1	951.988
3.6	1	951.951
3.7	1	951.92
3.8	1	952.026
3.9	1	951.897
4	1	951.988
4.1	1	951.873
4.2	1	952.024
4.3	1	951.985
4.4	1	951.935
4.5	1	951.937
4.6	1	951.945
4.7	1	951.953
4.8	1	951.949
4.9	1	951.983
5	1	951.924
5.1	1	951.938
5.2	1	951.935
5.3	1	951.971
5.4	1	951.985
5.5	1	951.953
5.6	1	951.965
5.7	1	951.905
5.8	1	952.008
5.9	1	951.878
6	1	951.937
6.1	1	951.985
6.2	1	951.957
6.3	1	952
6.4	1	951.974
6.5	1	951.918
6.6	1	951.971
6.7	1	951.952
6.8	1	951.964
6.9	1	951.889
7	1	951.957
7.1	1	951.959
7.2	1	951.97
7.3	1	951.905
7.4	1	951.976
7.5	1	951.877
7.6	1	952.001
7.7	1	951.956
7.8	1	952.003
7.9	1	951.944
8	1	951.96
8.1	1	951.968
8.2	1	951.884
8.3	1	951.946
8.4	1	951.971
8.5	1	951.93
8.6	1	951.962
8.7	1	951.971
8.8	1	951.933
8.9	1	951.942
9	1	951.957
9.1	1	951.988
9.2	1	951.942
9.3	1	951.966
9.4	1	951.895
9.5	1	951.985
9.6	1	951.938
9.7	1	951.963
9.8	1	952.007
9.9	1	951.868
10	1	952.006
10	3	0
10.1	1	705.046
10.1	3	247.278
10.2	1	582.467
10.2	3	369.873
10.3	1	549.889
10.3	3	402.489
10.4	1	543.137
10.4	3	409.355
10.5	1	516.815
10.5	3	435.562
10.6	1	492.554
10.6	3	459.824
10.7	1	463.486
10.7	3	488.892
10.8	1	494.27
10.8	3	458.221
10.9	1	507.774
10.9	3	444.603
11	1	499.306
11	3	453.072
11.1	1	465.088
11.1	3	487.289
11.2	1	452.156
11.2	3	500.221
11.3	1	435.448
11.3	3	517.044
11.4	1	449.409
11.4	3	502.968
11.5	1	449.753
11.5	3	502.625
11.6	1	490.837
11.6	3	461.54
